UUID	SenNet ID	Dataset Type	Organ	Status	Group	
d8a3ab258c70e5d3d2ad7dfd67c6d2d4	SNT324.VZGF.293	RNAseq	Lung	Published	TMC - University of Minnesota - Robbins	
5e2a3fb4c3c2ffcc9d380f4b1dc72300	SNT888.NZKL.838	RNAseq	Lung	Published	TMC - Duke University	
